"collectDate","plotID","adultCount","nymphCount","larvaCount","totalCount","totalSampledArea","targetTaxaPresent","domainID","siteID","nlcdClass","elevation","lat","lon","geodeticDatum"
2015-07-22,"BART_010",0,0,0,0,160,"N","D01","BART","deciduousForest",413,44.0511,-71.267766,"WGS84"
2015-07-23,"BART_019",0,0,0,0,157,"N","D01","BART","mixedForest",231.8,44.06935,-71.288001,"WGS84"
2015-07-23,"BART_029",0,0,0,0,148,"N","D01","BART","evergreenForest",291.7,44.058948,-71.289336,"WGS84"
2015-07-23,"BART_011",0,0,0,0,160,"N","D01","BART","mixedForest",399.5,44.048783,-71.295353,"WGS84"
2015-08-10,"BART_002",0,0,0,0,164,"N","D01","BART","deciduousForest",502.6,44.035231,-71.274674,"WGS84"
2015-08-10,"BART_015",0,0,0,0,162,"N","D01","BART","mixedForest",455,44.042149,-71.271603,"WGS84"
2015-08-10,"BART_010",0,0,0,0,160,"N","D01","BART","deciduousForest",413,44.0511,-71.267766,"WGS84"
2015-08-10,"BART_011",0,1,0,1,165,"Y","D01","BART","mixedForest",399.5,44.048783,-71.295353,"WGS84"
2015-08-11,"BART_019",0,0,0,0,165,"N","D01","BART","mixedForest",231.8,44.06935,-71.288001,"WGS84"
2015-08-11,"BART_029",0,0,0,0,140,"N","D01","BART","evergreenForest",291.7,44.058948,-71.289336,"WGS84"
2015-09-01,"BART_002",0,0,0,0,170,"N","D01","BART","deciduousForest",502.6,44.035231,-71.274674,"WGS84"
2015-09-01,"BART_015",0,0,0,0,165,"N","D01","BART","mixedForest",455,44.042149,-71.271603,"WGS84"
2015-09-01,"BART_010",0,0,0,0,165,"N","D01","BART","deciduousForest",413,44.0511,-71.267766,"WGS84"
2015-09-01,"BART_011",0,0,0,0,170,"N","D01","BART","mixedForest",399.5,44.048783,-71.295353,"WGS84"
2015-09-01,"BART_029",0,0,0,0,140,"N","D01","BART","evergreenForest",291.7,44.058948,-71.289336,"WGS84"
2015-09-02,"BART_019",0,0,0,0,175,"N","D01","BART","mixedForest",231.8,44.06935,-71.288001,"WGS84"
2016-05-03,"BART_002",0,0,0,0,160,"N","D01","BART","deciduousForest",502.6,44.035231,-71.274674,"WGS84"
2016-05-03,"BART_015",0,0,0,0,160,"N","D01","BART","mixedForest",455,44.042149,-71.271603,"WGS84"
2016-05-03,"BART_011",0,0,0,0,160,"N","D01","BART","mixedForest",399.5,44.048783,-71.295353,"WGS84"
2016-05-03,"BART_010",0,0,0,0,158,"N","D01","BART","deciduousForest",413,44.0511,-71.267766,"WGS84"
2016-05-03,"BART_029",0,0,0,0,153,"N","D01","BART","evergreenForest",291.7,44.058948,-71.289336,"WGS84"
2016-05-04,"BART_019",0,0,0,0,155,"N","D01","BART","mixedForest",231.8,44.06935,-71.288001,"WGS84"
